game,action_group,label,n,pearson,pearson_p,spearman,spearman_p
ice_hockey,noop,Noop,12,-0.11065045560041276,0.732092724188612,-0.1339787690606471,0.678051499832737
journey_escape,horizontal,Horizontal,12,-0.3410874399723828,0.2779174005303736,-0.18881118881118883,0.5567370561768314
journey_escape,vertical,Vertical,12,-0.7858710321020995,0.0024434539850658977,-0.7902097902097903,0.0022231354099909195
journey_escape,fire,Fire / Button,12,nan,nan,nan,nan
journey_escape,noop,Noop,12,0.6677349796552927,0.017650961743190693,0.6643356643356644,0.01845271802844544
laser_gates,horizontal,Horizontal,12,0.2969732650306772,0.3485668083570613,-0.006993006993006993,0.9827917689028476
laser_gates,vertical,Vertical,12,0.013623706402811315,0.9664812057159983,-0.16783216783216784,0.602099427786538
laser_gates,fire,Fire / Button,12,-0.3186915942335489,0.3126785533668637,-0.44755244755244755,0.14458630130334754
laser_gates,noop,Noop,12,-0.06279466639093205,0.8462758432353279,0.3416911067104122,0.277012434382463
name_this_game,horizontal,Horizontal,12,0.3146788777117178,0.3191492238956753,0.3076923076923077,0.3305892594121097
name_this_game,vertical,Vertical,12,nan,nan,nan,nan
name_this_game,fire,Fire / Button,12,0.5936666977434603,0.041840373978946646,0.10489510489510491,0.7456094809807079
name_this_game,noop,Noop,12,-0.5820009414538743,0.04710767749016352,0.007118564723133589,0.9824828407045115
pacman,horizontal,Horizontal,12,-0.6910063373780618,0.012830104540394559,-0.5594405594405596,0.05858947538856761
pacman,vertical,Vertical,12,0.6681588828660093,0.017552803590226988,0.5664335664335665,0.05484211977540786
pacman,fire,Fire / Button,12,nan,nan,nan,nan
pacman,noop,Noop,12,0.11928989105500022,0.7119341177378853,-0.004160459499865046,0.9897616054955951
phoenix,horizontal,Horizontal,12,0.541456483167767,0.06903773251377894,0.4763579984700755,0.11744175687902239
phoenix,vertical,Vertical,12,0.39224743063668643,0.20725638622473358,0.5629482194634996,0.05668822522889845
phoenix,fire,Fire / Button,12,-0.39644838217946005,0.20199831989403197,-0.4343264103697747,0.15829394366797925
phoenix,noop,Noop,12,-0.08183239632825713,0.8004028900225865,-0.15061319069274445,0.6403345250750125
qbert,horizontal,Horizontal,12,-0.344056116533108,0.27348328909092723,-0.2491243405669889,0.43490222874732254
qbert,vertical,Vertical,12,-0.344056116533108,0.27348328909092723,-0.2491243405669889,0.43490222874732254
qbert,fire,Fire / Button,12,nan,nan,nan,nan
qbert,noop,Noop,12,0.3440561165331082,0.27348328909092723,0.2491243405669889,0.43490222874732254
riverraid,horizontal,Horizontal,12,-0.5256585070287646,0.07921813277727249,-0.44755244755244755,0.14458630130334754
riverraid,vertical,Vertical,12,0.2296153257267932,0.4728159715033052,0.6223776223776225,0.03067589506164013
riverraid,fire,Fire / Button,12,0.5191033175848093,0.08372750992232128,0.3636363636363637,0.2452650007307772
riverraid,noop,Noop,12,0.15516087649192956,0.6301532833959305,-0.06338185336835989,0.844853681587023
robotank,horizontal,Horizontal,12,0.16495421745353286,0.6084294870866955,0.003565747911603346,0.9912250660088198
robotank,vertical,Vertical,12,-0.10999389181538377,0.7336312492263215,-0.0855779498784803,0.7914409886368359
robotank,fire,Fire / Button,12,-0.22158726592286987,0.4888469426325368,0.10340668943649703,0.7491160115086661
robotank,noop,Noop,12,-0.07638747359855091,0.8134700757450493,-0.050273269998457895,0.876696595482134
seaquest,horizontal,Horizontal,12,0.00037905876678512215,0.9990671602448289,-0.087719838227813,0.7863264698390713
seaquest,vertical,Vertical,12,0.04123906250694583,0.8987430186587482,-0.1473693282227258,0.6476318662945755
seaquest,fire,Fire / Button,12,0.651284603854666,0.021780152779808114,0.6842147381769412,0.014121331349722011
seaquest,noop,Noop,12,-0.1831023408290833,0.5689412905447491,-0.08731950264214218,0.7872818303502032
tennis,horizontal,Horizontal,12,-0.08742092648172366,0.7870397670693488,-0.09876927247871256,0.7600689491916417
tennis,vertical,Vertical,12,0.4979819069780609,0.09943448246723398,0.3809671938464628,0.22178379979504784
tennis,fire,Fire / Button,12,-0.6321881176429416,0.02740830488516112,-0.6596376411971161,0.019604266421649964
tennis,noop,Noop,12,0.404038895208301,0.1927067941440244,0.4338793041029159,0.15877123391969983
time_pilot,horizontal,Horizontal,12,-0.2785350100883703,0.38067733013553895,-0.37038477179517215,0.23595446333379674
time_pilot,vertical,Vertical,12,0.2609041418083924,0.4127502499298756,0.01410989606838751,0.9652856434422379
time_pilot,fire,Fire / Button,12,-0.054180738989774734,0.8671850948856816,0.09876927247871256,0.7600689491916417
time_pilot,noop,Noop,12,-0.04497222087474055,0.8896240829695647,0.17922644963073198,0.5772876797652844
