source,model_name,thinking_mode,thinking_level,thinking_budget,run_dir,total_turns,counted_turns,skipped_turns_missing_planned_actions,malformed_lines,total_actions,left_actions,left_percent,right_actions,right_percent
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_low_9,68,68,0,0,301,77,25.58139534883721,41,13.621262458471762
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_high_0,75,75,0,0,300,73,24.333333333333332,61,20.333333333333332
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_high_1,68,68,0,0,304,74,24.342105263157894,69,22.69736842105263
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_high_2,75,75,0,0,301,82,27.242524916943523,68,22.591362126245848
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_high_3,75,75,0,0,303,107,35.31353135313531,83,27.392739273927393
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_high_4,77,77,0,0,303,124,40.92409240924093,54,17.821782178217823
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_high_5,76,76,0,0,301,85,28.239202657807308,53,17.60797342192691
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_high_6,75,75,0,0,301,84,27.906976744186046,70,23.25581395348837
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_high_7_2,74,74,0,0,300,100,33.333333333333336,93,31.0
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_high_8,77,77,0,0,303,66,21.782178217821784,112,36.96369636963696
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_high_9,71,71,0,0,300,73,24.333333333333332,100,33.333333333333336
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_low_0,75,75,0,0,301,105,34.883720930232556,64,21.262458471760798
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_low_1,76,76,0,0,301,81,26.910299003322258,94,31.229235880398672
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_low_2,78,78,0,0,302,94,31.125827814569536,56,18.543046357615893
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_low_3,77,77,0,0,302,67,22.185430463576157,118,39.0728476821192
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_low_4,78,78,0,0,300,110,36.666666666666664,59,19.666666666666668
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_low_5,78,78,0,0,300,91,30.333333333333332,81,27.0
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_low_6,76,76,0,0,301,77,25.58139534883721,90,29.900332225913623
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_low_7,69,69,0,0,301,72,23.920265780730897,43,14.285714285714286
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_low_8,77,77,0,0,300,113,37.666666666666664,39,13.0
ataribench_videos/structured_history/runs/robotank,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3.1-pro-preview/xm_robotank_google-gemini-3.1-pro-preview_low_9,81,81,0,0,301,117,38.87043189368771,52,17.27574750830565
runs/robotank,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_001,104,104,0,0,300,173,57.666666666666664,111,37.0
runs/robotank,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_002,104,104,0,0,300,15,5.0,235,78.33333333333333
runs/robotank,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_003,104,104,0,0,300,48,16.0,208,69.33333333333333
runs/robotank,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_004,107,107,0,0,300,91,30.333333333333332,150,50.0
runs/robotank,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_005,107,107,0,0,300,242,80.66666666666667,27,9.0
runs/robotank,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_006,94,94,0,0,301,181,60.1328903654485,67,22.259136212624586
runs/robotank,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_007,112,112,0,0,302,246,81.45695364238411,36,11.920529801324504
runs/robotank,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_008,105,105,0,0,300,144,48.0,151,50.333333333333336
runs/robotank,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_009,97,97,0,0,300,144,48.0,103,34.333333333333336
runs/robotank,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_010,116,116,0,0,300,266,88.66666666666667,0,0.0
runs/robotank,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/robotank/gemini-2.5-flash/0413_182841_cfg_001_run_001,100,100,0,0,300,138,46.0,117,39.0
runs/robotank,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/robotank/gemini-2.5-flash/0413_182841_cfg_001_run_002,99,99,0,0,301,109,36.21262458471761,169,56.14617940199336
runs/robotank,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/robotank/gemini-2.5-flash/0413_182841_cfg_001_run_003,100,100,0,0,300,163,54.333333333333336,115,38.333333333333336
runs/robotank,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/robotank/gemini-2.5-flash/0413_182841_cfg_001_run_004,101,101,0,0,301,153,50.83056478405316,104,34.5514950166113
runs/robotank,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/robotank/gemini-2.5-flash/0413_182841_cfg_001_run_005,99,99,0,0,303,128,42.244224422442244,159,52.475247524752476
runs/robotank,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/robotank/gemini-2.5-flash/0413_182841_cfg_001_run_006,100,100,0,0,300,208,69.33333333333333,81,27.0
runs/robotank,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/robotank/gemini-2.5-flash/0413_182841_cfg_001_run_007,102,102,0,0,302,173,57.28476821192053,108,35.76158940397351
runs/robotank,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/robotank/gemini-2.5-flash/0413_182841_cfg_001_run_008,98,98,0,0,302,149,49.33774834437086,130,43.04635761589404
runs/robotank,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/robotank/gemini-2.5-flash/0413_182841_cfg_001_run_009,100,100,0,0,300,196,65.33333333333333,53,17.666666666666668
runs/robotank,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/robotank/gemini-2.5-flash/0413_182841_cfg_001_run_010,101,101,0,0,302,162,53.64238410596027,112,37.086092715231786
runs/robotank,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/gpt-5.4-mini/0413_182841_cfg_002_run_001,102,102,0,0,302,11,3.642384105960265,21,6.953642384105961
runs/robotank,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/gpt-5.4-mini/0413_182841_cfg_002_run_002,101,101,0,0,302,24,7.947019867549669,16,5.298013245033113
runs/robotank,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/gpt-5.4-mini/0413_182841_cfg_002_run_003,100,100,0,0,300,6,2.0,0,0.0
runs/robotank,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/gpt-5.4-mini/0413_182841_cfg_002_run_004,101,101,0,0,302,10,3.3112582781456954,4,1.3245033112582782
runs/robotank,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/gpt-5.4-mini/0413_182841_cfg_002_run_005,101,101,0,0,302,7,2.3178807947019866,9,2.980132450331126
runs/robotank,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/gpt-5.4-mini/0413_182841_cfg_002_run_006,100,100,0,0,301,11,3.654485049833887,3,0.9966777408637874
runs/robotank,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/gpt-5.4-mini/0413_182841_cfg_002_run_007,100,100,0,0,300,18,6.0,3,1.0
runs/robotank,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/gpt-5.4-mini/0413_182841_cfg_002_run_008,101,101,0,0,301,20,6.644518272425249,9,2.990033222591362
runs/robotank,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/gpt-5.4-mini/0413_182841_cfg_002_run_009,100,100,0,0,300,13,4.333333333333333,3,1.0
runs/robotank,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/gpt-5.4-mini/0413_182841_cfg_002_run_010,101,101,0,0,302,30,9.933774834437086,3,0.9933774834437086
runs/robotank,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/random/0422_025552_cfg_001_run_001,147,147,0,0,300,104,34.666666666666664,108,36.0
runs/robotank,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/random/0422_025552_cfg_001_run_002,159,159,0,0,300,92,30.666666666666668,97,32.333333333333336
runs/robotank,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/random/0422_025552_cfg_001_run_003,148,148,0,0,300,101,33.666666666666664,95,31.666666666666668
runs/robotank,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/random/0422_025552_cfg_001_run_004,143,143,0,0,300,98,32.666666666666664,99,33.0
runs/robotank,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/random/0422_025552_cfg_001_run_005,152,152,0,0,300,104,34.666666666666664,97,32.333333333333336
runs/robotank,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/random/0422_025552_cfg_001_run_006,144,144,0,0,300,88,29.333333333333332,98,32.666666666666664
runs/robotank,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/random/0422_025552_cfg_001_run_007,145,145,0,0,301,87,28.903654485049834,111,36.87707641196013
runs/robotank,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/random/0422_025552_cfg_001_run_008,153,153,0,0,301,96,31.893687707641195,103,34.21926910299003
runs/robotank,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/random/0422_025552_cfg_001_run_009,154,154,0,0,301,102,33.88704318936877,98,32.55813953488372
runs/robotank,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/random/0422_025552_cfg_001_run_010,141,141,0,0,301,91,30.232558139534884,106,35.21594684385382
runs/robotank,zai-org/glm-5.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/zai-org-glm-5.1/0420_043256_cfg_001_run_001,97,97,0,0,300,191,63.666666666666664,8,2.6666666666666665
runs/robotank,zai-org/glm-5.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/zai-org-glm-5.1/0420_043256_cfg_001_run_002,94,94,0,0,300,197,65.66666666666667,25,8.333333333333334
runs/robotank,zai-org/glm-5.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/zai-org-glm-5.1/0420_043256_cfg_001_run_003,91,91,0,0,300,90,30.0,67,22.333333333333332
runs/robotank,zai-org/glm-5.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/zai-org-glm-5.1/0420_043256_cfg_001_run_004,100,100,0,0,300,103,34.333333333333336,12,4.0
runs/robotank,zai-org/glm-5.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/zai-org-glm-5.1/0420_043256_cfg_001_run_005,95,95,0,0,300,141,47.0,28,9.333333333333334
runs/robotank,zai-org/glm-5.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/zai-org-glm-5.1/0420_043256_cfg_001_run_006,101,101,0,0,300,218,72.66666666666667,10,3.3333333333333335
runs/robotank,zai-org/glm-5.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/zai-org-glm-5.1/0420_043256_cfg_001_run_007,88,88,0,0,300,67,22.333333333333332,31,10.333333333333334
runs/robotank,zai-org/glm-5.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/zai-org-glm-5.1/0420_043256_cfg_001_run_008,81,81,0,0,300,128,42.666666666666664,110,36.666666666666664
runs/robotank,zai-org/glm-5.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/zai-org-glm-5.1/0420_043256_cfg_001_run_009,100,100,0,0,300,144,48.0,12,4.0
runs/robotank,zai-org/glm-5.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/robotank/zai-org-glm-5.1/0420_043256_cfg_001_run_010,87,87,0,0,300,87,29.0,37,12.333333333333334
