source,game,model_name,prompt_mode,context_cache,thinking_mode,thinking_level,thinking_budget,frames_per_action,num_runs,total_turns,counted_turns,skipped_turns_missing_planned_actions,malformed_lines,total_actions,horizontal_actions,vertical_actions,fire_actions,noop_actions,unclassified_actions,horizontal_percent,vertical_percent,fire_percent,noop_percent,unclassified_percent
structured_history/claude,breakout,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,1121,1121,0,0,3008,2657,0,328,23,0,88.3311170212766,0.0,10.904255319148936,0.7646276595744681,0.0
structured_history/claude,breakout,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,957,957,0,0,3011,2339,0,49,623,0,77.68183327798074,0.0,1.6273663234805713,20.69080039853869,0.0
structured_history/claude,breakout,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,954,954,0,0,3008,1988,0,89,931,0,66.09042553191489,0.0,2.958776595744681,30.950797872340427,0.0
structured_history/claude,demon_attack,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,615,615,0,0,3007,1946,0,2985,0,0,64.71566345194546,0.0,99.26837379447954,0.0,0.0
structured_history/claude,demon_attack,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,999,999,0,0,3006,1803,0,2974,0,0,59.98003992015968,0.0,98.9354624085163,0.0,0.0
structured_history/claude,demon_attack,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,1026,1026,0,0,3011,2586,0,2994,0,0,85.8850880106277,0.0,99.43540352042511,0.0,0.0
structured_history/claude,demon_attack,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,1017,1017,0,0,3009,1422,0,3005,0,0,47.25822532402792,0.0,99.8670654702559,0.0,0.0
structured_history/claude,fishing_derby,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,594,594,0,0,3001,1654,1921,10,2,0,55.114961679440185,64.01199600133289,0.3332222592469177,0.06664445184938354,0.0
structured_history/claude,fishing_derby,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,663,663,0,0,3022,1351,1959,5,0,0,44.70549305095963,64.82461945731303,0.1654533421575116,0.0,0.0
structured_history/claude,fishing_derby,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,1160,1160,0,0,3007,1458,2096,34,0,0,48.48686398403725,69.70402394413036,1.1306950448952444,0.0,0.0
structured_history/claude,fishing_derby,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,808,808,0,0,3014,1524,1724,0,0,0,50.56403450564034,57.19973457199735,0.0,0.0,0.0
structured_history/claude,freeway,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,497,497,0,0,3009,0,2992,0,17,0,0.0,99.43502824858757,0.0,0.5649717514124294,0.0
structured_history/claude,freeway,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,300,300,0,0,3000,0,3000,0,0,0,0.0,100.0,0.0,0.0,0.0
structured_history/claude,freeway,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,687,687,0,0,3024,0,3023,0,1,0,0.0,99.96693121693121,0.0,0.03306878306878307,0.0
structured_history/claude,freeway,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,595,595,0,0,3000,0,3000,0,0,0,0.0,100.0,0.0,0.0,0.0
structured_history/claude,gopher,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,622,622,0,0,3015,2089,0,1063,6,0,69.28689883913765,0.0,35.25704809286899,0.19900497512437812,0.0
structured_history/claude,gopher,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,635,635,0,0,3019,1765,0,1332,0,0,58.463067240808215,0.0,44.120569725074525,0.0,0.0
structured_history/claude,gopher,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,1069,1069,0,0,3011,2421,0,628,9,0,80.40518100298904,0.0,20.856858186648953,0.29890401859847227,0.0
structured_history/claude,gopher,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,865,865,0,0,3007,2231,0,720,117,0,74.19354838709677,0.0,23.944130362487527,3.8909211839042235,0.0
structured_history/claude,ice_hockey,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,613,613,0,0,3026,1712,2496,503,0,0,56.57633840052875,82.48512888301389,16.622604097818904,0.0,0.0
structured_history/claude,ice_hockey,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,780,780,0,0,3015,1351,2589,564,0,0,44.80928689883914,85.87064676616916,18.70646766169154,0.0,0.0
structured_history/claude,ice_hockey,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,796,796,0,0,3007,993,2404,940,0,0,33.02294645826405,79.9467908214167,31.260392417692053,0.0,0.0
structured_history/claude,ice_hockey,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,898,898,0,0,3008,586,1787,853,0,0,19.481382978723403,59.40824468085106,28.357712765957448,0.0,0.0
structured_history/claude,journey_escape,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,603,603,0,0,3014,2218,1342,0,39,0,73.58991373589913,44.52554744525548,0.0,1.2939615129396151,0.0
structured_history/claude,journey_escape,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,1000,1000,0,0,3004,2734,0,0,270,0,91.01198402130493,0.0,0.0,8.988015978695072,0.0
structured_history/claude,journey_escape,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,748,748,0,0,3002,1880,1034,0,376,0,62.62491672218521,34.44370419720187,0.0,12.524983344437041,0.0
structured_history/claude,journey_escape,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,721,721,0,0,3009,1750,642,0,649,0,58.1588567630442,21.335992023928217,0.0,21.568627450980394,0.0
structured_history/claude,laser_gates,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,538,538,0,0,3049,3009,442,2963,5,0,98.68809445719909,14.496556247950148,97.17940308297803,0.1639881928501148,0.0
structured_history/claude,laser_gates,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,612,612,0,0,3060,2336,815,1237,0,0,76.33986928104575,26.633986928104576,40.42483660130719,0.0,0.0
structured_history/claude,laser_gates,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,613,613,0,0,3039,3019,597,2117,0,0,99.34188877920369,19.64461994076999,69.6610727212899,0.0,0.0
structured_history/claude,laser_gates,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,616,616,0,0,3016,3013,32,1334,0,0,99.90053050397879,1.0610079575596818,44.23076923076923,0.0,0.0
structured_history/claude,name_this_game,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,499,499,0,0,3016,1734,0,2987,0,0,57.49336870026525,0.0,99.03846153846153,0.0,0.0
structured_history/claude,name_this_game,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,600,600,0,0,3000,875,0,2997,0,0,29.166666666666668,0.0,99.9,0.0,0.0
structured_history/claude,name_this_game,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,597,597,0,0,3004,1697,0,2995,0,0,56.491344873501994,0.0,99.70039946737683,0.0,0.0
structured_history/claude,name_this_game,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,600,600,0,0,3001,841,0,2971,0,0,28.02399200266578,0.0,99.00033322225924,0.0,0.0
structured_history/claude,pacman,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,579,579,0,0,3010,1714,1296,0,0,0,56.943521594684384,43.056478405315616,0.0,0.0,0.0
structured_history/claude,pacman,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,622,622,0,0,3017,1759,1258,0,0,0,58.302949950281736,41.697050049718264,0.0,0.0,0.0
structured_history/claude,pacman,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,617,617,0,0,3030,1533,1497,0,0,0,50.59405940594059,49.40594059405941,0.0,0.0,0.0
structured_history/claude,pacman,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,605,605,0,0,3013,1589,1424,0,0,0,52.73813474941918,47.26186525058082,0.0,0.0,0.0
structured_history/claude,phoenix,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,552,552,0,0,3025,1841,1,1124,200,0,60.85950413223141,0.03305785123966942,37.15702479338843,6.6115702479338845,0.0
structured_history/claude,phoenix,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,659,659,0,0,3014,1907,0,1372,33,0,63.271400132714,0.0,45.520902455209026,1.094890510948905,0.0
structured_history/claude,phoenix,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,660,660,0,0,3016,1089,0,1090,875,0,36.10742705570292,0.0,36.14058355437666,29.011936339522546,0.0
structured_history/claude,phoenix,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,735,735,0,0,3021,1039,0,1406,795,0,34.392585236676595,0.0,46.540880503144656,26.31578947368421,0.0
structured_history/claude,qbert,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,593,593,0,0,3015,2930,2930,0,85,0,97.18076285240464,97.18076285240464,0.0,2.8192371475953566,0.0
structured_history/claude,qbert,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,632,632,0,0,3019,2928,2928,0,91,0,96.9857568731368,96.9857568731368,0.0,3.0142431268632,0.0
structured_history/claude,qbert,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,892,892,0,0,3013,3012,3012,0,1,0,99.96681048788582,99.96681048788582,0.0,0.03318951211417192,0.0
structured_history/claude,qbert,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,715,715,0,0,3015,3011,3011,0,4,0,99.86733001658375,99.86733001658375,0.0,0.13266998341625208,0.0
structured_history/claude,riverraid,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,602,602,0,0,3010,1426,1326,1318,61,0,47.37541528239203,44.053156146179404,43.78737541528239,2.026578073089701,0.0
structured_history/claude,riverraid,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,916,916,0,0,3012,1252,221,2811,0,0,41.56706507304117,7.337317397078353,93.32669322709164,0.0,0.0
structured_history/claude,riverraid,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,1011,1011,0,0,3007,324,2452,2695,11,0,10.774858663119389,81.54306617891586,89.6242101762554,0.36581310276022616,0.0
structured_history/claude,riverraid,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,1020,1020,0,0,3008,23,2973,3002,0,0,0.7646276595744681,98.83643617021276,99.80053191489361,0.0,0.0
structured_history/claude,robotank,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,601,601,0,0,3007,1733,2184,2823,41,0,57.6321915530429,72.63052876621217,93.88094446291986,1.3634852011972065,0.0
structured_history/claude,robotank,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,663,663,0,0,3026,1281,2621,2994,0,0,42.333113020489094,86.61599471249174,98.94249834765367,0.0,0.0
structured_history/claude,robotank,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,988,988,0,0,3010,1747,1658,2880,88,0,58.03986710963455,55.08305647840532,95.68106312292359,2.9235880398671097,0.0
structured_history/claude,robotank,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,997,997,0,0,3004,1156,1646,2787,194,0,38.48202396804261,54.793608521970704,92.7762982689747,6.458055925432756,0.0
structured_history/claude,seaquest,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,593,593,0,0,3001,1922,2188,2340,0,0,64.04531822725758,72.9090303232256,77.97400866377875,0.0,0.0
structured_history/claude,seaquest,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,615,615,0,0,3020,1667,1941,1385,0,0,55.19867549668874,64.27152317880795,45.86092715231788,0.0,0.0
structured_history/claude,seaquest,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,847,847,0,0,3019,1314,2467,745,0,0,43.524345809870816,81.7157999337529,24.67704537926466,0.0,0.0
structured_history/claude,seaquest,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,739,739,0,0,3019,939,2532,555,0,0,31.103014243126864,83.86883073865518,18.383570718781055,0.0,0.0
structured_history/claude,tennis,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,615,615,0,0,3033,2021,228,432,420,0,66.63369601055061,7.517309594460929,14.243323442136498,13.847675568743819,0.0
structured_history/claude,tennis,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,951,951,0,0,3010,1923,455,629,268,0,63.88704318936877,15.116279069767442,20.897009966777407,8.903654485049834,0.0
structured_history/claude,tennis,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,787,787,0,0,3011,1639,1142,377,57,0,54.43374294254401,37.927598804383926,12.520757223513783,1.893058784456991,0.0
structured_history/claude,tennis,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,945,945,0,0,3011,767,1031,750,509,0,25.47326469611425,34.2411159083361,24.908668216539354,16.904682829624708,0.0
structured_history/claude,time_pilot,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,490,490,0,0,3034,1003,519,1512,0,0,33.05866842452208,17.106130520764665,49.83520105471325,0.0,0.0
structured_history/claude,time_pilot,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,537,537,0,0,3022,1037,429,1519,37,0,34.3150231634679,14.195896757114493,50.26472534745202,1.2243547319655856,0.0
structured_history/claude,time_pilot,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,791,791,0,0,3012,1026,582,1404,0,0,34.06374501992032,19.322709163346612,46.613545816733065,0.0,0.0
structured_history/claude,time_pilot,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,831,831,0,0,3016,704,225,2087,0,0,23.342175066312997,7.460212201591512,69.1976127320955,0.0,0.0
structured_history/gemini,air_raid,google:gemini-3-flash-preview,structured_history,False,none,high,none,3,10,752,752,0,0,3012,2731,0,2658,149,0,90.67065073041168,0.0,88.24701195219123,4.946879150066401,0.0
structured_history/gemini,air_raid,google:gemini-3-flash-preview,structured_history,False,none,low,none,3,12,707,707,0,0,3364,2573,0,2873,121,0,76.48632580261594,0.0,85.40428061831153,3.596908442330559,0.0
structured_history/gemini,air_raid,google:gemini-3.1-pro-preview,structured_history,False,none,high,none,3,12,773,773,0,0,3258,2595,0,664,294,0,79.6500920810313,0.0,20.38060159607121,9.023941068139964,0.0
structured_history/gemini,air_raid,google:gemini-3.1-pro-preview,structured_history,False,none,low,none,3,10,780,780,0,0,3012,2203,0,757,500,0,73.14077025232403,0.0,25.132802124833997,16.600265604249667,0.0
structured_history/gemini,assault,google:gemini-3-flash-preview,structured_history,False,none,high,none,3,10,844,844,0,0,3014,1238,1127,1127,649,0,41.07498341074984,37.3921698739217,37.3921698739217,21.532846715328468,0.0
structured_history/gemini,assault,google:gemini-3-flash-preview,structured_history,False,none,low,none,3,10,678,678,0,0,3020,1133,1205,1205,682,0,37.51655629139073,39.90066225165563,39.90066225165563,22.582781456953644,0.0
structured_history/gemini,assault,google:gemini-3.1-pro-preview,structured_history,False,none,high,none,3,10,765,765,0,0,3007,1449,652,652,906,0,48.187562354506156,21.68274027269704,21.68274027269704,30.12969737279681,0.0
structured_history/gemini,assault,google:gemini-3.1-pro-preview,structured_history,False,none,low,none,3,12,867,867,0,0,3283,1234,832,834,1217,0,37.58757234236978,25.34267438318611,25.403594273530306,37.0697532744441,0.0
structured_history/gemini,beam_rider,google:gemini-3-flash-preview,structured_history,False,none,high,none,3,10,1037,1037,0,0,3012,1408,0,2173,229,0,46.746347941567066,0.0,72.14475431606905,7.602921646746348,0.0
structured_history/gemini,beam_rider,google:gemini-3-flash-preview,structured_history,False,none,low,none,3,10,848,848,0,0,3014,1359,0,2211,51,0,45.08958195089582,0.0,73.35766423357664,1.6921035169210352,0.0
structured_history/gemini,beam_rider,google:gemini-3.1-pro-preview,structured_history,False,none,high,none,3,10,742,742,0,0,3013,1050,0,1283,763,0,34.84898771988052,0.0,42.582144042482575,25.323597743113176,0.0
structured_history/gemini,beam_rider,google:gemini-3.1-pro-preview,structured_history,False,none,low,none,3,10,845,845,0,0,3017,1407,0,1635,350,0,46.635730858468676,0.0,54.19290686112032,11.600928074245939,0.0
structured_history/gemini,boxing,google:gemini-3-flash-preview,structured_history,False,none,high,none,3,10,948,948,0,0,3013,1427,479,2564,295,0,47.361433786923335,15.897776302688351,85.09790906073681,9.790906073680716,0.0
structured_history/gemini,boxing,google:gemini-3-flash-preview,structured_history,False,none,low,none,3,10,748,748,0,0,3010,1355,521,2797,90,0,45.01661129568107,17.308970099667775,92.92358803986711,2.990033222591362,0.0
structured_history/gemini,boxing,google:gemini-3.1-pro-preview,structured_history,False,none,high,none,3,10,752,752,0,0,3005,2537,1193,2410,3,0,84.42595673876872,39.70049916805324,80.19966722129784,0.09983361064891846,0.0
structured_history/gemini,boxing,google:gemini-3.1-pro-preview,structured_history,False,none,low,none,3,10,763,763,0,0,3015,2177,746,2675,2,0,72.20563847429518,24.742951907131012,88.72305140961858,0.06633499170812604,0.0
structured_history/gemini,breakout,google:gemini-3-flash-preview,structured_history,False,none,high,none,3,10,621,621,0,0,3022,2096,0,53,873,0,69.35804103242886,0.0,1.7538054268696228,28.888153540701524,0.0
structured_history/gemini,breakout,google:gemini-3-flash-preview,structured_history,False,none,low,none,3,10,636,636,0,0,3024,2043,0,79,902,0,67.55952380952381,0.0,2.6124338624338623,29.82804232804233,0.0
structured_history/gemini,breakout,google:gemini-3.1-pro-preview,structured_history,False,none,high,none,3,10,838,838,0,0,3013,1916,0,68,1029,0,63.591105210753405,0.0,2.2568868237636908,34.15200796548291,0.0
structured_history/gemini,breakout,google:gemini-3.1-pro-preview,structured_history,False,none,low,none,3,10,930,930,0,0,3010,1908,0,69,1033,0,63.388704318936874,0.0,2.292358803986711,34.31893687707641,0.0
structured_history/gemini,demon_attack,google:gemini-3-flash-preview,structured_history,False,none,high,none,3,10,1083,1083,0,0,3003,1904,0,2423,270,0,63.4032634032634,0.0,80.68598068598068,8.991008991008991,0.0
structured_history/gemini,demon_attack,google:gemini-3-flash-preview,structured_history,False,none,low,none,3,12,945,945,0,0,3299,1848,0,2898,80,0,56.01697484086087,0.0,87.84480145498635,2.4249772658381326,0.0
structured_history/gemini,demon_attack,google:gemini-3.1-pro-preview,structured_history,False,none,high,none,3,10,763,763,0,0,3014,1956,0,1235,164,0,64.89714664897147,0.0,40.97544790975448,5.441274054412741,0.0
structured_history/gemini,demon_attack,google:gemini-3.1-pro-preview,structured_history,False,none,low,none,3,10,896,896,0,0,3012,2227,0,1656,97,0,73.93758300132802,0.0,54.9800796812749,3.2204515272244354,0.0
structured_history/gemini,fishing_derby,google:gemini-3-flash-preview,structured_history,False,none,high,none,3,10,610,610,0,0,3023,674,2506,361,68,0,22.295732715845187,82.89778365861727,11.941779689050612,2.2494211048627193,0.0
structured_history/gemini,fishing_derby,google:gemini-3-flash-preview,structured_history,False,none,low,none,3,10,492,492,0,0,3021,929,2346,382,27,0,30.75140681893413,77.65640516385302,12.644819596160211,0.8937437934458788,0.0
structured_history/gemini,fishing_derby,google:gemini-3.1-pro-preview,structured_history,False,none,high,none,3,10,767,767,0,0,3016,942,2282,1073,127,0,31.23342175066313,75.6631299734748,35.57692307692308,4.210875331564987,0.0
structured_history/gemini,fishing_derby,google:gemini-3.1-pro-preview,structured_history,False,none,low,none,3,10,751,751,0,0,3014,1245,2583,997,30,0,41.307232913072326,85.70006635700067,33.07896483078965,0.9953550099535501,0.0
structured_history/gemini,freeway,google:gemini-3-flash-preview,structured_history,False,none,high,none,3,10,365,365,0,0,3017,0,2359,0,658,0,0.0,78.19025522041764,0.0,21.809744779582367,0.0
structured_history/gemini,freeway,google:gemini-3-flash-preview,structured_history,False,none,low,none,3,10,348,348,0,0,3032,0,2525,0,507,0,0.0,83.27836411609499,0.0,16.721635883905012,0.0
structured_history/gemini,freeway,google:gemini-3.1-pro-preview,structured_history,False,none,high,none,3,22,474,474,0,0,3640,0,2547,0,1093,0,0.0,69.97252747252747,0.0,30.02747252747253,0.0
structured_history/gemini,freeway,google:gemini-3.1-pro-preview,structured_history,False,none,low,none,3,10,716,716,0,0,3007,0,2228,0,779,0,0.0,74.09378117725308,0.0,25.906218822746922,0.0
structured_history/gemini,gopher,google:gemini-3-flash-preview,structured_history,False,none,high,none,3,11,622,622,0,0,3270,2953,0,155,165,0,90.30581039755351,0.0,4.740061162079511,5.045871559633028,0.0
structured_history/gemini,gopher,google:gemini-3-flash-preview,structured_history,False,none,low,none,3,14,626,626,0,0,3652,3257,0,326,72,0,89.18400876232201,0.0,8.926615553121577,1.9715224534501643,0.0
structured_history/gemini,gopher,google:gemini-3.1-pro-preview,structured_history,False,none,high,none,3,18,738,738,0,0,3252,2738,0,86,429,0,84.19434194341943,0.0,2.644526445264453,13.191881918819188,0.0
structured_history/gemini,gopher,google:gemini-3.1-pro-preview,structured_history,False,none,low,none,3,10,742,742,0,0,3012,2637,0,47,329,0,87.54980079681275,0.0,1.5604249667994687,10.922974767596282,0.0
structured_history/gemini,ice_hockey,google:gemini-3-flash-preview,structured_history,False,none,high,none,3,10,678,678,0,0,3024,2507,2344,425,192,0,82.90343915343915,77.51322751322752,14.054232804232804,6.349206349206349,0.0
structured_history/gemini,ice_hockey,google:gemini-3-flash-preview,structured_history,False,none,low,none,3,12,688,688,0,0,3350,2868,2621,412,84,0,85.61194029850746,78.23880597014926,12.298507462686567,2.5074626865671643,0.0
structured_history/gemini,ice_hockey,google:gemini-3.1-pro-preview,structured_history,False,none,high,none,3,10,685,685,0,0,3011,2481,2550,240,109,0,82.3978744603122,84.68947193623382,7.970773829292594,3.62005978080372,0.0
structured_history/gemini,ice_hockey,google:gemini-3.1-pro-preview,structured_history,False,none,low,none,3,10,743,743,0,0,3011,2684,2582,111,20,0,89.13982065758884,85.75224178013949,3.6864828960478246,0.6642311524410495,0.0
structured_history/gemini,journey_escape,google:gemini-3-flash-preview,structured_history,False,none,high,none,3,10,650,650,0,0,3033,1654,1054,0,614,0,54.5334652159578,34.75107154632377,0.0,20.24398285525882,0.0
structured_history/gemini,journey_escape,google:gemini-3-flash-preview,structured_history,False,none,low,none,3,11,488,488,0,0,3113,1398,1831,0,131,0,44.908448442017345,58.81786058464504,0.0,4.208159331834244,0.0
structured_history/gemini,journey_escape,google:gemini-3.1-pro-preview,structured_history,False,none,high,none,3,10,644,644,0,0,3017,1499,1411,0,600,0,49.68511766655618,46.76831289360292,0.0,19.887305270135897,0.0
structured_history/gemini,journey_escape,google:gemini-3.1-pro-preview,structured_history,False,none,low,none,3,10,727,727,0,0,3020,1861,1415,0,492,0,61.62251655629139,46.854304635761586,0.0,16.29139072847682,0.0
structured_history/gemini,laser_gates,google:gemini-3-flash-preview,structured_history,False,none,high,none,3,10,580,580,0,0,3052,2848,492,1454,156,0,93.31585845347313,16.120576671035387,47.64089121887287,5.111402359108781,0.0
structured_history/gemini,laser_gates,google:gemini-3-flash-preview,structured_history,False,none,low,none,3,12,537,537,0,0,3599,3500,428,1813,44,0,97.24923589886079,11.89219227563212,50.37510419560989,1.2225618227285358,0.0
structured_history/gemini,laser_gates,google:gemini-3.1-pro-preview,structured_history,False,none,high,none,3,10,703,703,0,0,3037,2754,387,328,151,0,90.68159367797168,12.742838327296674,10.80013170892328,4.972011853803095,0.0
structured_history/gemini,laser_gates,google:gemini-3.1-pro-preview,structured_history,False,none,low,none,3,10,724,724,0,0,3025,2872,279,318,117,0,94.94214876033058,9.223140495867769,10.512396694214877,3.8677685950413223,0.0
structured_history/gemini,name_this_game,google:gemini-3-flash-preview,structured_history,False,none,high,none,3,10,446,446,0,0,3009,2179,0,2661,164,0,72.41608507809903,0.0,88.43469591226321,5.450315719508143,0.0
structured_history/gemini,name_this_game,google:gemini-3-flash-preview,structured_history,False,none,low,none,3,10,395,395,0,0,3037,1982,0,2795,104,0,65.26177148501812,0.0,92.0316101415871,3.424432005268357,0.0
